PC1,PC2,PC3,label,ra,dec,j_mag,h_mag,k_mag,kep_mag,planet_radius,orbital_period,star_teff,star_logg,star_radius,star_mass,lc_time0
0.3074941822570183,1.1981707016301233,0.2924129615589154,0,294.55917,46.062328,11.43,11.065,10.983,12.654,8.2,49.18394185,5626.0,3.907,2.057,1.247,141.911924
-0.3983778162713476,-0.2342369612224091,0.0150201111802234,0,294.20215,40.66341,13.703,13.215,13.133,15.208,2.35,11.76307164,4959.0,4.603,0.756,0.849,180.93613
-0.4394060734420325,-0.3071673726358089,0.0010164730050553,0,296.98505,43.65852,12.836,12.15,11.966,15.234,1.11,15.36845737,3561.0,4.855,0.411,0.44,147.38965
-0.3917255183422781,-0.2092153448890331,0.0090995875258164,0,281.96063,43.70311,14.197,14.023,13.849,15.425,4.56,13.81020318,5942.0,4.327,1.142,1.009,172.33533
-0.2206850217204212,-0.413236782065078,0.126603252854401,1,285.16748,43.876339,13.909,13.326,13.182,15.75,4.87,12.732624065,3950.0,4.721,0.541,0.563,176.939054
-0.016805087747233,0.40931332785132,0.068012922713996,1,287.85239,43.897991,14.0,13.359,13.215,15.754,4.78,83.92494032,3960.0,4.746,0.509,0.526,236.76334
0.0962623597045712,-0.1049501630984754,0.3391482681885371,0,295.53613,43.884449,14.572,14.207,14.126,15.813,6.96,5.007316661,5865.0,4.563,0.827,0.914,173.433997
0.5997678380657949,1.1495211353177457,0.3496862483600188,2,297.47586,41.114288,11.977,11.656,11.635,13.109,20.7,33.80364366,5855.0,3.999,1.796,1.174,202.259731
-0.4672693028090652,-0.4571298298173887,0.0158574380889981,0,285.16833,44.026459,13.97,13.359,13.289,15.791,1.85,2.211116989,4500.0,4.656,0.646,0.71,170.150139
-0.4116481983899772,-0.7005592934504805,0.1215849438894619,0,292.21906,44.61916,12.177,11.685,11.465,15.92,0.76,0.453287416,3292.0,5.215,0.148,0.132,133.869741
-0.507247905067745,-0.6800630538571536,0.030287418054923,0,292.21906,44.61916,12.177,11.685,11.465,15.92,0.66,1.865114193,3292.0,5.215,0.148,0.132,133.792344
0.8843235585004056,-0.520023685233922,1.216601402251373,2,288.49948,47.996471,13.056,13.045,13.056,13.234,22.36,3.273699006,10816.0,4.086,2.493,2.76,171.2385098
0.5236923697493324,-0.4080447947609095,-0.4616973841100626,2,290.11569,38.40419,14.943,14.563,14.477,13.361,51.86,7.047103499,5730.0,4.417,1.035,1.018,175.03337
-0.0847958456754789,-0.7003230644949993,0.4273198418577347,2,290.91119,38.335579,12.25,11.766,11.66,13.787,59.56,0.379463865,5075.0,3.892,1.783,0.905,170.2480164
0.2409142800484131,-0.4214430803915477,0.3319657502265267,2,281.66916,42.038639,14.144,13.767,13.712,15.212,23.6,9.88047978,6113.0,4.512,0.917,0.997,173.608672
1.3074824374905651,6.071212240332301,-0.0469104073247812,2,295.26682,38.61124,10.142,9.983,9.936,10.963,5.06,4.6484156,6980.0,3.577,3.482,1.671,261.09395
-0.3515676851601839,0.0885546786584254,-0.0098804151275163,0,293.08463,41.135441,13.37,13.146,13.11,14.348,1.7,4.75796103,6021.0,4.093,1.458,0.96,137.69636
-0.1648162283733962,0.7812477593902276,-0.0217083285349863,0,293.08463,41.135441,13.37,13.146,13.11,14.348,2.96,20.4972755,6021.0,4.093,1.458,0.96,147.43894
-0.3295366742091936,0.1925308134162814,-0.0169183276159311,0,293.08463,41.135441,13.37,13.146,13.11,14.348,1.74,8.19345065,6021.0,4.093,1.458,0.96,138.99617
-0.2750929533032654,0.3358636201448793,-0.0100183328392628,0,290.1315,41.3815,13.327,13.009,12.967,14.502,2.02,41.8059544,5907.0,4.445,0.973,0.961,142.81919
-0.4587015896851759,-0.3146372990803766,-0.0020786383995929,2,297.98123,41.44487,11.21,11.111,11.088,11.798,2.02,15.45158184,7839.0,4.08,2.069,1.878,142.21096
5.664592040108916,-1.3238097968660194,0.6954520552759179,2,299.0209,44.17276,12.493,12.197,12.139,13.624,102.08,89.698168533,6214.0,4.021,1.583,0.959,176.3060152
-0.2308859796775147,-0.126895636877133,0.1231204910260943,1,290.10333,39.781631,12.792,12.607,12.578,13.682,7.62,22.65117451,6968.0,4.31,1.333,1.333,140.337593
0.5138970915906915,3.3438503102014456,-0.0830057657451587,2,297.75311,41.675991,13.868,13.452,13.346,15.259,28.22,475.91706,5334.0,4.372,1.004,0.865,588.8926
-0.3934413233118251,-0.1405948188477798,0.0026834099089342,0,290.21518,41.77597,14.438,14.14,13.961,15.808,2.26,5.32667299,5831.0,4.517,0.921,1.016,357.12617
-0.404818786109234,-0.0761884538661907,-0.0181874551141904,0,290.21518,41.77597,14.438,14.14,13.961,15.808,1.39,8.1280933,5831.0,4.517,0.921,1.016,358.68367
